sale_id,customer_id,vehicle_id,sale_date,final_price,discount,dealer_region,payment_type
1,1545,1041,2026-01-29,1544299,166406,Delhi,EMI
2,1987,325,2024-03-09,760402,48783,Delhi,EMI
3,347,909,2023-07-09,918131,112884,Bangalore,EMI
4,1071,763,2021-11-20,3446578,72065,Chennai,Loan
5,1858,1264,2025-04-12,704908,154491,Chennai,Loan
6,1210,1188,2023-10-31,2395302,138437,Bangalore,EMI
7,827,1245,2025-09-08,4677267,69178,Hyderabad,Cash
8,3766,215,2024-10-23,688410,32576,Hyderabad,Cash
9,4851,389,2022-09-12,1500002,96860,Hyderabad,Loan
10,3019,1885,2023-10-16,4376637,136234,Hyderabad,EMI
11,1859,892,2023-06-04,1518946,181878,Hyderabad,Cash
12,764,11,2025-05-26,745598,64048,Delhi,Loan
13,1330,1111,2022-12-24,1428868,179358,Chennai,Loan
14,932,1496,2022-07-06,577870,58589,Delhi,Loan
15,3808,1921,2023-07-31,2314386,9237,Hyderabad,EMI
16,994,721,2024-05-12,815571,7752,Bangalore,Loan
17,4152,1570,2024-06-18,1431235,198406,Chennai,Cash
18,2010,1200,2022-10-28,2778640,17043,Delhi,EMI
19,3913,285,2022-05-11,4316328,54469,Mumbai,EMI
20,4907,451,2024-07-27,690987,81261,Chennai,EMI
21,4104,1183,2024-02-01,2279287,139260,Hyderabad,Cash
22,1917,1365,2025-03-29,2271368,36770,Chennai,EMI
23,411,515,2026-01-15,4420309,34879,Mumbai,EMI
24,4987,460,2023-11-15,2186817,10066,Mumbai,EMI
25,3228,1003,2021-08-04,2169167,148320,Delhi,EMI
26,4053,1412,2022-05-17,507185,10686,Hyderabad,Cash
27,1202,439,2023-09-09,674533,108659,Chennai,Loan
28,3715,1938,2023-01-27,2307763,132235,Chennai,Cash
29,3100,1437,2023-02-19,1188208,126761,Bangalore,EMI
30,4431,752,2022-05-21,2035403,30140,Mumbai,EMI
31,4450,746,2022-04-16,2371912,117175,Chennai,EMI
32,665,694,2021-12-15,2277654,77551,Chennai,Cash
33,284,884,2021-12-10,733209,89826,Bangalore,Cash
34,2557,1907,2025-11-28,1011188,14712,Chennai,Cash
35,3085,950,2023-06-07,1937311,12125,Chennai,Cash
36,4268,1012,2021-08-29,1238698,169450,Mumbai,EMI
37,3047,1722,2025-01-26,1524430,59914,Chennai,Loan
38,3909,1791,2023-02-11,891080,147375,Bangalore,EMI
39,1627,722,2021-06-29,1454758,10940,Delhi,EMI
40,125,1467,2022-01-05,634245,146628,Hyderabad,Cash
41,250,1236,2026-02-05,471989,129445,Mumbai,Cash
42,4171,1171,2022-03-13,1157993,7369,Bangalore,Loan
43,2806,1038,2022-02-04,1690884,105207,Chennai,Cash
44,3535,1642,2022-04-19,2220730,58114,Hyderabad,Loan
45,1090,1963,2021-02-24,985220,22882,Chennai,EMI
46,1967,466,2022-12-08,2043687,162087,Delhi,EMI
47,4026,1121,2024-04-08,4058585,121634,Bangalore,Loan
48,408,693,2021-05-24,2347969,120563,Bangalore,Loan
49,1954,300,2023-11-26,541302,103219,Hyderabad,Cash
50,2232,743,2025-07-18,661661,178841,Mumbai,EMI
51,1029,1604,2022-07-27,520264,189642,Hyderabad,Cash
52,3071,1198,2024-03-12,706948,162688,Mumbai,EMI
53,1112,485,2023-04-30,1338699,72985,Chennai,Cash
54,1094,1850,2021-08-17,513484,165471,Mumbai,Cash
55,146,103,2022-12-08,1086041,159924,Chennai,Loan
56,1340,1081,2024-01-09,3187846,180674,Bangalore,EMI
57,784,413,2023-06-02,4513097,70382,Bangalore,Cash
58,4958,594,2024-11-24,859890,78293,Bangalore,EMI
59,279,1356,2022-01-31,1181728,2410,Hyderabad,EMI
60,751,1370,2022-04-06,2213676,85332,Mumbai,Loan
61,2160,1754,2022-02-09,1609982,125177,Chennai,Cash
62,2858,255,2021-08-04,1850410,97826,Mumbai,Cash
63,1510,842,2022-12-13,555474,30345,Chennai,EMI
64,2291,558,2022-01-17,1273035,164623,Chennai,EMI
65,3994,1262,2023-12-24,2428134,25300,Chennai,Loan
66,2068,1357,2023-08-16,1026850,10413,Mumbai,Loan
67,1445,96,2025-11-04,3001734,174506,Hyderabad,EMI
68,202,1806,2023-07-22,4097268,198444,Chennai,Loan
69,4634,346,2023-04-11,1715115,146838,Chennai,Cash
70,4994,72,2021-10-17,1145794,180054,Mumbai,Loan
71,4441,850,2024-05-08,2399077,78665,Bangalore,EMI
72,3189,11,2022-12-25,793056,16590,Hyderabad,Loan
73,656,824,2024-09-16,4664716,77578,Bangalore,EMI
74,4173,1914,2026-01-29,1076616,31447,Delhi,Cash
75,1495,1619,2022-05-11,2088046,87087,Chennai,Loan
76,1750,77,2024-11-01,1895292,141437,Delhi,Loan
77,3333,1224,2021-05-22,687302,109239,Chennai,Loan
78,2675,1143,2024-03-04,2203831,193365,Mumbai,Cash
79,2953,185,2021-04-16,1528172,18226,Chennai,EMI
80,4060,631,2024-09-04,1105265,29154,Chennai,Cash
81,4319,386,2023-08-04,1019616,105790,Mumbai,EMI
82,262,1018,2022-04-20,3019108,115566,Chennai,Cash
83,3917,1181,2021-07-14,2200539,45150,Hyderabad,Cash
84,603,218,2022-09-09,1818187,54041,Mumbai,EMI
