service_id,vehicle_id,service_date,service_type,service_cost,warranty_claim,dealer_region
1,1750,2024-02-23,Minor,10013,Yes,Hyderabad
2,1168,2025-11-15,Repair,10014,Yes,Bangalore
3,1478,2025-05-29,Minor,6827,Yes,Delhi
4,1232,2025-11-16,Repair,10340,No,Mumbai
5,1530,2025-06-13,Minor,9396,No,Chennai
6,978,2024-05-10,Repair,11879,No,Mumbai
7,723,2024-12-15,Minor,11347,No,Delhi
8,1734,2025-09-27,Repair,15131,Yes,Chennai
9,1319,2026-02-17,Repair,13619,Yes,Mumbai
10,687,2024-09-21,Repair,11266,No,Hyderabad
11,744,2024-04-25,Minor,5884,Yes,Mumbai
12,297,2023-11-04,Minor,9283,Yes,Delhi
13,1748,2025-08-29,Repair,13870,Yes,Mumbai
14,8,2023-11-05,Repair,14816,No,Delhi
15,1059,2025-07-06,Repair,12856,No,Delhi
16,800,2024-06-25,Minor,10394,Yes,Chennai
17,1982,2025-07-01,Minor,11097,No,Chennai
18,736,2024-09-17,Minor,9614,No,Bangalore
19,789,2023-06-20,Repair,11948,No,Mumbai
20,53,2023-04-05,Minor,8030,No,Hyderabad
21,1930,2026-02-04,Minor,7039,No,Bangalore
22,176,2024-09-04,Minor,10448,No,Bangalore
23,50,2024-12-26,Minor,12266,No,Mumbai
24,1274,2025-10-10,Major,13388,Yes,Bangalore
25,629,2025-01-03,Minor,5712,No,Hyderabad
26,203,2025-06-07,Minor,9769,No,Delhi
27,1415,2024-01-13,Repair,11299,Yes,Hyderabad
28,1810,2023-10-13,Minor,8536,No,Bangalore
29,1972,2023-11-22,Minor,7576,Yes,Bangalore
30,148,2025-12-21,Minor,6800,No,Chennai
31,1651,2024-03-22,Repair,10870,Yes,Chennai
32,516,2024-04-26,Major,16853,Yes,Bangalore
33,218,2024-01-15,Minor,9463,No,Chennai
34,1976,2024-01-05,Minor,7607,Yes,Chennai
35,1404,2024-01-06,Repair,9853,Yes,Bangalore
36,74,2025-08-09,Repair,14779,Yes,Chennai
37,1782,2025-03-02,Repair,9345,No,Chennai
38,56,2025-06-22,Repair,13417,Yes,Bangalore
39,1421,2025-05-15,Major,12495,Yes,Chennai
40,428,2023-06-12,Major,16243,No,Mumbai
41,824,2025-04-29,Major,13314,No,Bangalore
42,245,2024-07-17,Repair,13283,Yes,Delhi
43,1585,2024-05-23,Minor,10204,No,Hyderabad
44,1671,2025-08-29,Major,14108,Yes,Delhi
45,184,2024-10-11,Repair,13358,Yes,Delhi
46,178,2025-03-07,Major,11847,No,Mumbai
47,12,2023-07-22,Repair,8668,No,Bangalore
48,1408,2024-12-29,Minor,8651,Yes,Hyderabad
49,118,2023-05-26,Major,12558,Yes,Delhi
50,810,2024-03-25,Minor,6806,Yes,Delhi
51,1350,2024-08-23,Repair,8142,No,Hyderabad
52,1328,2023-06-29,Major,16676,No,Delhi
53,1802,2023-12-07,Major,12542,No,Mumbai
54,55,2023-09-15,Repair,10294,Yes,Hyderabad
55,1540,2025-08-04,Repair,8161,No,Hyderabad
56,382,2025-07-07,Repair,11618,No,Bangalore
57,1238,2025-08-07,Repair,9964,No,Mumbai
58,440,2025-11-02,Minor,12146,Yes,Delhi
59,1045,2023-10-05,Repair,9817,No,Bangalore
60,1111,2024-03-30,Repair,12401,No,Mumbai
61,1372,2023-12-16,Major,14979,Yes,Chennai
62,1389,2025-01-01,Major,13403,Yes,Delhi
63,233,2023-05-24,Repair,10379,Yes,Mumbai
64,964,2025-09-02,Major,14387,Yes,Chennai
65,1652,2024-12-25,Minor,6182,Yes,Delhi
66,825,2023-08-13,Minor,6149,No,Bangalore
67,138,2023-04-30,Major,18661,Yes,Bangalore
68,800,2024-11-13,Minor,10021,No,Delhi
69,1915,2023-10-28,Major,15637,Yes,Hyderabad
70,431,2023-06-04,Repair,13469,Yes,Chennai
71,1682,2025-10-31,Major,16927,No,Chennai
72,846,2026-01-18,Minor,11474,No,Chennai
73,280,2025-07-30,Repair,10277,Yes,Chennai
74,1370,2024-08-31,Major,16189,Yes,Hyderabad
75,1581,2025-01-26,Major,15695,No,Delhi
76,1367,2024-09-20,Repair,9771,Yes,Chennai
77,1451,2023-12-28,Minor,5752,Yes,Hyderabad
78,883,2024-01-10,Repair,10414,No,Mumbai
79,1661,2025-01-30,Major,17475,No,Mumbai
80,512,2026-01-10,Repair,11487,No,Bangalore
81,1413,2025-04-08,Minor,8786,No,Mumbai
82,1090,2024-09-24,Minor,8139,Yes,Delhi
83,1974,2025-04-15,Minor,9289,Yes,Chennai
84,1632,2023-02-27,Repair,12712,No,Chennai
85,345,2023-08-12,Major,12447,Yes,Mumbai
86,796,2023-08-18,Repair,13795,Yes,Delhi
87,1030,2024-09-17,Minor,6599,Yes,Bangalore
88,473,2025-08-30,Major,12861,Yes,Bangalore
89,1220,2026-02-01,Major,16328,Yes,Bangalore
90,303,2025-03-31,Repair,12971,Yes,Mumbai
91,1504,2025-06-25,Major,12668,No,Mumbai
92,176,2025-06-26,Minor,10403,Yes,Bangalore
93,1618,2024-06-07,Major,13170,No,Delhi
94,671,2024-04-15,Minor,6813,No,Delhi
95,1747,2023-10-03,Minor,8228,Yes,Bangalore
96,599,2023-05-22,Repair,10300,Yes,Chennai
97,1253,2024-07-24,Repair,9802,Yes,Mumbai
98,532,2025-03-24,Major,13064,No,Chennai
99,1550,2025-10-03,Repair,11472,No,Mumbai
100,1593,2025-07-08,Minor,5787,No,Hyderabad
101,1418,2024-07-26,Major,12770,No,Delhi
102,1914,2025-05-25,Repair,13454,Yes,Hyderabad
103,1335,2026-02-18,Minor,10115,Yes,Chennai
104,298,2024-09-09,Minor,10050,No,Hyderabad
105,1252,2026-02-18,Minor,11360,No,Hyderabad
106,80,2024-12-21,Minor,7562,Yes,Mumbai
107,1047,2024-12-05,Major,16291,Yes,Delhi
108,1694,2024-10-13,Repair,9719,Yes,Hyderabad
109,957,2023-11-20,Minor,6852,No,Hyderabad
110,35,2025-03-09,Major,15304,Yes,Hyderabad
111,1541,2023-11-09,Minor,11536,Yes,Hyderabad
112,1212,2024-01-28,Minor,6427,Yes,Mumbai
113,1964,2023-06-04,Major,16397,No,Mumbai
114,461,2023-11-27,Minor,10230,Yes,Mumbai
115,426,2023-09-07,Repair,15188,No,Delhi
116,1955,2024-04-27,Repair,12531,Yes,Delhi
117,371,2025-10-19,Minor,10235,No,Chennai
118,1360,2025-08-30,Minor,8603,No,Bangalore
119,875,2025-09-12,Minor,10678,No,Bangalore
120,1046,2024-03-06,Major,13323,Yes,Chennai
121,99,2023-07-26,Major,16054,No,Mumbai
122,1001,2026-01-10,Major,14801,Yes,Hyderabad
123,1477,2025-05-25,Major,14568,No,Hyderabad
124,1400,2024-04-12,Repair,8673,No,Chennai
125,1004,2024-02-02,Repair,9068,Yes,Hyderabad
126,1735,2025-08-25,Minor,6609,Yes,Hyderabad
127,1240,2024-05-09,Repair,11104,No,Bangalore
128,1308,2023-11-09,Repair,12957,No,Hyderabad
129,1537,2024-10-04,Repair,14237,No,Delhi
130,1742,2023-10-04,Repair,8743,Yes,Hyderabad
131,1747,2025-03-07,Major,14902,No,Delhi
132,396,2024-11-16,Minor,7935,No,Hyderabad
